score	attr_overlap	states_safe_id	states_title	states_attrib_paper	studies_paper	studies_year	paper_contribution
92	halasz,loth,masarik,mohar,samal	2103.05036	Conjecture 1	2103.05036	2202.07746	2023	Proved as a corollary of Theorem 3: $E[F] \leq n(H_{2\mu}+1)$, and since $H_{2\mu} \sim \log(2\mu)+\gamma$, this gives $O(n\log\mu)$; the bound is tight up to a constant factor.
90		2110.00278	Conjecture 1.3	2110.00278	2409.09397	2025	Proves that every $\{H,K_{k+1}\}$-free graph $G$ with $H$ a forest satisfies $\alpha(G)\geq |G|^{1-o(1)}$ (Theorem 1.2/1.3/1.4); proves the full linear stable-set conclusion of the conjecture for all 
90		2110.00278	Conjecture 1.3	2110.00278	2409.09400	2025	Proves a polylogarithmic analogue for $K_t$-subdivision-free graphs: every such graph $G$ with $|G|\geq 2$ satisfies $\alpha(G)\geq c_t|G|/(\log|G|)^{3t-5}$, showing that the Gyárfás-Sumner phenomenon
89		2304.03567	Conjecture 1	2304.03567	2206.12335	2025	Obtains improved upper and lower bounds: $0.555197\dots \leq p_{\mathrm{max}}(\Z^{2}) \leq 0.8457$.
89		2304.03567	Conjecture 1	2304.03567	2206.12335	2025	Significantly improves the best known upper bound, establishing $\lim_{n\to\infty}p_{\mathrm{max}}(\Z^{n})\leq 0.5847$.
88		2201.04062	Open question on Theorem 3.3 with stronger coherence	2201.04062	2301.10147	2024	Proves that every $H$-free graph $G$ with $|G|\geq 2$ satisfies $\kappa(G)\geq 2^{c\sqrt{\log|G|}\,\log\log|G|}$ (Theorem 1.3), the first improvement over the $2^{c\sqrt{\log|G|}}$ bound for general $
88		2110.00278	Conjecture 1.3	2110.00278	2202.05557	2023	Proves that for every tree $H$ of radius two and every integer $d \geq 1$, there is a polynomial $f$ such that $\chi(G) \leq f(\tau_d(G))$ for every $H$-free graph $G$ (Theorem 1.6), which in particul
88	alon,wei	2108.02685	Conjecture 1.2	2108.02685	2207.13651	2022	Confirms Conjecture 1.2 for all $d = o(n/(\log n)^{12})$ by proving (Theorem 1.3) that the irregular random subgraph $H = H(G)$ satisfies $m(H,k) = (1+o(1))n/(d+1)$ for all $0 \leq k \leq d$ with high
88	aboulker,adler,kim,sintiari,trotignon	2008.05504	Conjecture 3	2008.05504	2108.01162	2023	Proves three theorems supporting the conjecture: (1) every $S_{t,t,t}$-free graph of maximum degree at most $\Delta$ and sufficiently large treewidth contains the line graph of a subdivision of $W_{k\
87		2203.06775	Conjecture 1.6	2203.06775	2507.06169	2025	Provides a second, simpler counterexample to Conjecture 1.5 that additionally has arbitrarily large girth and does not contain all trees as induced subgraphs; the proof establishes a slightly stronger
87		1803.01051	List-chromatic analogue of Reed's Conjecture	1803.01051	2012.13916	2020	Proves the special case $\chi'_c(G) \leq 4$ when $G$ has maximum degree at most 3 (i.e., $\Delta + 1 = 4$), via a reachability lemma for Kempe chains (Theorem 3 and Lemma 7).
87	aboulker,charbit	1605.07411	Conjecture 5	1605.07411	2212.02272	2023	Proves the conjecture for the special case of $\overrightarrow{P}_6$-free digraphs with $\omega(D) \leq 2$ (triangle-free), establishing $\overrightarrow{\chi}(D) \leq 382$ (Theorem 1.3).
86		1912.02342	Conjecture 4.1	1912.02342	2012.03686	2021	Presents Theorem 4 (degeneracy of $C_{\geq t}$-free graphs excluding $K_{\ell,\ell}$) as the $C_{\geq t}$-free analogue of the Fox–Sudakov biclique version of the conjecture, drawing an explicit struc
85		2110.00278	Conjecture 1.3	2110.00278	2301.10147	2024	Proves that every $H$-free graph $G$ with $|G|\geq 2$ satisfies $\kappa(G)\geq 2^{c\sqrt{\log|G|}\,\log\log|G|}$ (Theorem 1.3), the first improvement over the $2^{c\sqrt{\log|G|}}$ bound for general $
85		2202.09118	Question (are all graphs self-isolating?)	2202.09118	2202.10412	2023	Proves that if $H$ is a good forest then the disjoint union of $H$ and $P_4$ is also good (polynomially $\chi$-bounded), in particular showing that $2P_4$-free graphs satisfy $\chi(G) \leq \omega(G)^{
85		1609.00314	Conjecture: every forest of lanterns is pervasive	1609.00314	2110.00278	2022	Proves the near-polynomial bound $\chi(G) \leq \omega(G)^{\log_2(\omega(G))}$ for $P_5$-free graphs with $\omega(G) \geq 3$, making progress towards establishing the Erdős-Hajnal conjecture for $P_5$,
85	alon,hefetz,krivelevich,tyomkyn	1805.06848	Conjecture 1.2 (The Large Inducibility Conjecture)	1805.06848	1809.01352	2020	Completes the proof of the conjecture by handling the remaining cases $1 \leq \ell \leq C \cdot k$ (Theorem 1.2), together with the earlier result of Kwan, Sudakov and Tran which covered $C \cdot k \l
85		1808.01605	Conjecture 6	1808.01605	2510.11311	2025	Shows that the most direct extension of Thomassen's conjecture to digraphs (using minimum out-degree) is false; proves all orientations of $C_3$ and $C_5$ are avoidable; and fully characterizes which 
85	bonamy,perrett	1609.06257	Question 1.1	1609.06257	2110.08870	2022	Answers the question positively for planar graphs (Theorem 1.2): every connected planar graph on $n$ vertices, except $K_3$ and $K_5^-$ (the only two planar odd semi-cliques), can be decomposed into $
84		2110.00278	Conjecture 1.3	2110.00278	2009.09426	2023	Proves bipartite analogues of the strong Erdős-Hajnal property (Theorems 1.5 and 1.6), establishing that excluding a forest bigraph and its bicomplement forces linear-sized pure pairs in each part, an
84	fox,pach,suk	1912.02342	Conjecture 4.1	1912.02342	2312.15572	2025	Fully confirms the conjecture, proving that every graph $G$ of VC-dimension at most $d$ contains a clique or stable set of size at least $|G|^{c_d}$ for an explicit $c_d>0$ satisfying $c_d \geq 2^{-2^
84		1708.02370	Conjecture 4	1708.02370	2012.05554	2022	Proves Conjecture 3 for all minor-closed classes with bounded treedepth by establishing $\chi_{\Delta}(\mathcal{G}) = \chi^\star(\mathcal{G}) = \mathrm{tcn}(\mathcal{G}) - 1$ in that setting (Theorem 
83		2402.08418	Conjecture 1.12	2402.08418	2312.15572	2025	Proves the conjecture for every two-colourable tournament, which in particular completes the verification of the conjecture for all six-vertex tournaments.
83		1609.00314	Conjecture: every forest of lanterns is pervasive	1609.00314	2301.10147	2024	Proves that every $H$-free graph $G$ with $|G|\geq 2$ satisfies $\kappa(G)\geq 2^{c\sqrt{\log|G|}\,\log\log|G|}$ (Theorem 1.3), the first improvement over the $2^{c\sqrt{\log|G|}}$ bound for general $
83		1609.00314	Conjecture: every forest of lanterns is pervasive	1609.00314	2409.09397	2025	Proves that every $\{H,K_{k+1}\}$-free graph $G$ with $H$ a forest satisfies $\alpha(G)\geq |G|^{1-o(1)}$ (Theorem 1.2/1.3/1.4); proves the full linear stable-set conclusion of the conjecture for all 
83		1609.00314	Conjecture: every forest of lanterns is pervasive	1609.00314	2409.09400	2025	Proves a polylogarithmic analogue for $K_t$-subdivision-free graphs: every such graph $G$ with $|G|\geq 2$ satisfies $\alpha(G)\geq c_t|G|/(\log|G|)^{3t-5}$, showing that the Gyárfás-Sumner phenomenon
83		1705.04609	Conjecture 1.8	1705.04609	1701.07217	2019	The authors note they can prove a weaker partial result — that there exist two holes both of length at least $\ell$ with consecutive lengths — by a refinement of the paper's methods, but omit the deta
83	seymour,spirkl	1810.00811	Conjecture 1.5 (sparse strong EH-property)	1810.00811	2310.04265	2023	The paper discusses the conjecture alongside its own Conjecture 4.3 and notes that no inclusion between $\operatorname{\overrightarrow{\chi}}$-binding and the strong Erdős-Hajnal property has been pro
83	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Proves the conjecture for digraphs with chromatic number at most 6 or dichromatic number at most 3; proves the stronger majority 3-choosability for digraphs with $\Delta^+(D) \leq 4$ or $\Delta(D) \le
82		2203.06775	Conjecture 1.6	2203.06775	2402.14211	2024	Proves the conjecture in full: for every integer $t\geq 1$ there exists $c_t\geq 1$ such that every $n$-vertex even-hole-free graph with no clique of size $t$ has $\operatorname{tw}(G)\leq c_t\log n$.
82		2110.00278	Conjecture 1.3	2110.00278	2009.09426	2023	No progress is made on this conjecture in the paper; it is highlighted as an important open problem that goes beyond the main results.
82		1609.00314	Conjecture: every forest of lanterns is pervasive	1609.00314	2201.08204	2022	Disproves Conjecture 1.1 for all $r \geq 5$ by constructing, for every $n$, a graph $G$ with $\chi(G) \geq n$ and $\omega(G) \leq 3$ such that every induced subgraph $H$ with $\omega(H) \leq 2$ satisf
81		2302.04986	Open problem on $\eta$-boundedness for disjoint union of two	2302.04986	2507.06169	2025	Provides a second, simpler counterexample to Conjecture 1.5 that additionally has arbitrarily large girth and does not contain all trees as induced subgraphs; the proof establishes a slightly stronger
81		2203.06775	Conjecture 1.6	2203.06775	2509.08762	2025	Proves the conjecture for all graphs of bounded path-width (and, further, for graphs of bounded coarse path-width); also notes the conjecture remains false for bounded tree-width.
81		2202.09118	Question (are all graphs self-isolating?)	2202.09118	2506.10227	2026	Derives a partial answer analogous to their main Theorem 1.3 by combining it with Hajebi's result on bull-free graphs (Theorem 1.5), extending the chromatic-boundedness conclusion to the net-free sun-
81		1810.00058	Conjecture 3.4	1810.00058	2301.10147	2024	Proves that every $H$-free graph $G$ with $|G|\geq 2$ satisfies $\kappa(G)\geq 2^{c\sqrt{\log|G|}\,\log\log|G|}$ (Theorem 1.3), the first improvement over the $2^{c\sqrt{\log|G|}}$ bound for general $
81		2005.09767	Conjecture 1.10	2005.09767	2409.18220	2024	Proves the first known linear lower bound $s(G) \geq \frac{3n}{4}$ for every connected graph $G$ of order $n \geq 4$, via a superadditivity result for positive and negative square energies over vertex
81		1912.02342	Conjecture 4.1	1912.02342	2004.12166	2020	Proves that a constructive version of the Erdős-Hajnal conjecture implies the improved approximation conjecture (Conjecture 5), and shows the improved approximation property is closed under graph subs
81		1705.04609	Conjecture 1.8	1705.04609	2206.00186	2022	Proves that every graph $G$ with $\alpha(G) \leq 2$ contains a minor $H$ with $|V(H)| = \lceil|V(G)|/2\rceil$ and at least $(\gamma - o(1))\binom{|V(H)|}{2}$ edges where $\gamma = 0.986882\ldots$, est
81		1705.04609	Conjecture 1.8	1705.04609	2510.05893	2025	Proves the conjecture for graphs with chromatic number $k$ and at most $(1.64-\varepsilon)k$ vertices (for any $\varepsilon>0$ and $k$ sufficiently large), and unconditionally for graphs with fewer th
81	dvorak,kral	1302.2158	Conjecture 1.7	1302.2158	1508.03663	2018	Proves the conjecture in full and strengthens it to list-coloring and paintability: every planar graph of girth at least 5 with $\Delta(G) \geq \Delta_0 = 2{,}992{,}901$ is square $(\Delta(G)+2)$-choo
80		2309.07905	Conjecture 1.4	2309.07905	2307.06455	2026	Proves infinitely many prime graphs satisfy the conjecture: all graphs $H$ whose every non-trivial prime induced subgraph $H'$ has a vertex of degree one and a vertex of degree $|H'|-2$; more generall
80		2202.05557	Question: Polynomial bound analogue of Esperet's conjecture 	2202.05557	2409.09397	2025	Proves that every $\{H,K_{k+1}\}$-free graph $G$ with $H$ a forest satisfies $\alpha(G)\geq |G|^{1-o(1)}$ (Theorem 1.2/1.3/1.4); proves the full linear stable-set conclusion of the conjecture for all 
80		2202.05557	Question: Polynomial bound analogue of Esperet's conjecture 	2202.05557	2409.09400	2025	Proves a polylogarithmic analogue for $K_t$-subdivision-free graphs: every such graph $G$ with $|G|\geq 2$ satisfies $\alpha(G)\geq c_t|G|/(\log|G|)^{3t-5}$, showing that the Gyárfás-Sumner phenomenon
80		2202.05557	Question: Polynomial bound analogue of Esperet's conjecture 	2202.05557	2409.09397	2025	Proves that every $\{H,K_{k+1}\}$-free graph $G$ with $H$ a forest satisfies $\alpha(G)\geq |G|^{1-o(1)}$ (Theorem 1.2/1.3/1.4); proves the full linear stable-set conclusion of the conjecture for all 
80		2202.05557	Question: Polynomial bound analogue of Esperet's conjecture 	2202.05557	2409.09400	2025	Proves a polylogarithmic analogue for $K_t$-subdivision-free graphs: every such graph $G$ with $|G|\geq 2$ satisfies $\alpha(G)\geq c_t|G|/(\log|G|)^{3t-5}$, showing that the Gyárfás-Sumner phenomenon
80		2203.06775	Conjecture 1.6	2203.06775	2508.14332	2025	The authors established in their prior work [9] that this conjecture is false for all $k \geq 3$, even when $c = 3$ and $G$ has maximum degree three; the present paper then addresses the weaker Conjec
80		2110.00278	Conjecture 1.3	2110.00278	2307.00801	2024	Proves the conjecture for $H=P_4$ with the optimal $\delta=\varepsilon$ (and a stronger maximum-degree bound), and more generally for all graphs $H$ obtainable by vertex-substitution from copies of $P
80		2103.05036	Conjecture 1	2103.05036	2211.01032	2025	Proves (Theorem 1.8) that $\mathbb{E}[F(K_n)] = \Theta(\ln n)$, confirming the logarithmic order; the exact constant $2\ln n + O(1)$ remains open.
80		2006.09877	Question: polynomial expansion and twin-width	2006.09877	2204.12330	2022	Disproves the conjecture by constructing (via Theorem 1.1, a finitely generated group with infinite twin-width) a small class of graphs closed under induced subgraphs with unbounded twin-width (Coroll
80		2004.12166	Question: optimal approximation exponent for MIS in H-free g	2004.12166	2301.10147	2024	Proves that every $H$-free graph $G$ with $|G|\geq 2$ satisfies $\kappa(G)\geq 2^{c\sqrt{\log|G|}\,\log\log|G|}$ (Theorem 1.3), the first improvement over the $2^{c\sqrt{\log|G|}}$ bound for general $
80	alon,ben-eliezer,shangguan,tamo	1812.09752	Open question: exact value of $HG(K_{n,n})$	1812.09752	2107.05995	2021	The paper restates the question and notes that a positive answer seems plausible, but does not prove it.
80		1907.12999	Conjecture on $MR_t(s,k)$ for $s \geq 4$	1907.12999	2206.13635	2024	Proves a weak hypergraph extension: for every $t\geq 1$ there exists a finite integer $h(t)$ such that every hypergraph with no $K_t$-minor is $h(t)$-colorable, and establishes $\left\lceil\frac{3}{2}
80		1808.01605	Conjecture 6	1808.01605	2209.00594	2022	Proves the $t = 5$ case as a corollary (Corollary 1.4) of establishing Holroyd's Strong Hadwiger's conjecture for $t = 4$; additionally shows that every 5-chromatic graph contains a $K_5$-minor with a
80		1808.01605	Conjecture 6	1808.01605	2510.11311	2025	Shows that the most direct extension of Thomassen's conjecture to digraphs (using minimum out-degree) is false; proves all orientations of $C_3$ and $C_5$ are avoidable; and fully characterizes which 
80		1808.01605	Conjecture 6	1808.01605	2002.11100	2021	Proves that any $K_s$-free $n$-vertex graph with $\alpha(G) \leq r$ has a clique minor of order at least $(n/r)^{1+\frac{1}{10(s-2)}}$ (Theorem 1), which substantially exceeds the bound $n/\alpha(G)$ 
80		1611.03196	Conjecture 1.15	1611.03196	2212.11969	2024	Disproves the conjecture by showing $\operatorname{inv}(n) = (1+o(1))n$; specifically, $\operatorname{inv}(n) \geq n - \sqrt{2n\log n}$ for sufficiently large $n$ via a random construction (Theorem 8)
80	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.13224	2020	Resolves the second question in the negative by proving that neither $\overleftrightarrow{K_4}$ nor $\overleftrightarrow{S_4}$ is $\kappa'$-maderian (Propositions 10 and 11); the $\kappa$-maderian que
80		1602.05184	Conjecture 5	1602.05184	2402.05753	2024	No direct contribution to Meyniel's Conjecture; cited as motivation — if Conjecture 1.3 (which Conjecture 1.5 implies) were established, it would yield the Weak Meyniel's Conjecture.
79	alon	2004.07457	Conjecture 7	2004.07457	2409.01513	2024	Proves that every bipartite graph $G$ of sufficiently large maximum degree $\Delta$ satisfies $\operatorname{ch}(G)<(\frac{4}{5}-\varepsilon)\frac{\Delta}{\log\Delta}$ for $\varepsilon=10^{-3}$, givin
79	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.13224	2020	No direct progress on this conjecture is made in this paper; the paper instead proves the related Conjecture 5 concerning oriented cycles.
79	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.13224	2020	Proves this conjecture in full generality (Theorem 6), establishing that $\mathrm{mader}_{\delta^+}$ of an oriented cycle of length $\ell$ is bounded by a polynomial function $K(\ell)$.
79	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Proves the conjecture for digraphs with chromatic number at most 6 or dichromatic number at most 3; proves the stronger majority 3-choosability for digraphs with $\Delta^+(D) \leq 4$ or $\Delta(D) \le
79	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Proves the conjecture for digraphs with chromatic number at most 6 or dichromatic number at most 3; proves the stronger majority 3-choosability for digraphs with $\Delta^+(D) \leq 4$ or $\Delta(D) \le
78	aboulker,adler,kim,sintiari,trotignon	2008.05504	Conjecture 3	2008.05504	2108.01162	2023	Proves three theorems supporting the conjecture: (1) every $S_{t,t,t}$-free graph of maximum degree at most $\Delta$ and sufficiently large treewidth contains the line graph of a subdivision of $W_{k\
78	dvorak,norin,postle	1612.08698	Problem 1	1612.08698	1902.02971	2019	Proves part (b) in the affirmative: there exists $\varepsilon > 0$ such that every triangle-free planar graph with an assignment of lists of size four is weighted $\varepsilon$-flexible.
78	dvorak,norin,postle	1612.08698	Problem 1	1612.08698	1902.04069	2019	Proves Theorem 2: there exists $\varepsilon > 0$ such that every planar graph of girth at least six with lists of size three is weighted $\varepsilon$-flexible, resolving part (c) for girth $\geq 6$ a
78	harutyunyan,le,thomasse,wu	1702.01607	Problem 4	1702.01607	2310.04265	2023	The paper introduces Conjecture 5.3 (large dom implies an $\operatorname{\overrightarrow{\omega}}$-cluster) as an intermediate conjecture between Theorem 5.1 and Conjecture 5.2, and establishes implic
77	dvorak	1302.2158	Conjecture 1.7	1302.2158	1809.05439	2018	Proves Conjecture 2 for planar graphs of girth at least five with maximum degree at most $\Delta$: such graphs are $(6M_\Delta : 2M_\Delta+1)$-colorable and thus have fractional chromatic number at mo
76	chudnovsky	2203.06775	Conjecture 1.6	2203.06775	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
76	devos	1806.00825	Conjecture 12	1806.00825	2101.04716	2021	Proves Conjecture 1.2 in the case where every color class has size at least $301k \log k$, i.e., when the color class size is $\Omega(k \log k)$.
76	dvorak	1302.2158	Conjecture 1.7	1302.2158	1805.11507	2019	Proves that the class of minimal obstructions of girth at least five to list $(3a:a)$-colorability is strongly hyperbolic (Theorem 5), which is stated as a key step in a forthcoming proof that the con
75	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.09888	2020	The paper fully resolves the conjecture: Theorem 7 proves $\mathrm{mader}_{\vec{\chi}}(F)=v(F)$ for every octus digraph $F$, and Corollary 8 specialises this to every orientation of a cactus graph, wh
75	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Shows $K \leq 3.9602$ (Theorem 6) via a probabilistic coloring with deterministic alteration; also shows that every digraph $D$ with $\delta^+(D) \geq C(1/\varepsilon)^2 \ln(2/\varepsilon)$ has a frac
75	aboulker,charbit	1605.07411	Conjecture 5	1605.07411	2202.01006	2022	Paper recalls the conjecture as broader context without making direct progress on it.
73	alon,hefetz,krivelevich,tyomkyn	1805.06848	Conjecture 1.2 (The Large Inducibility Conjecture)	1805.06848	1809.01352	2020	Proves the conjecture for the sublinear range $1 \leq \ell < k/r$ via Theorem 1.4, establishing $\mathrm{ind}_r(k,\ell) \leq \mathrm{ind}_{\leq r}(k,\ell) \leq \frac{k}{k-r\ell} \cdot \frac{1}{e}$, wh
73	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Shows $K \leq 3.9602$ (Theorem 6) via a probabilistic coloring with deterministic alteration; also shows that every digraph $D$ with $\delta^+(D) \geq C(1/\varepsilon)^2 \ln(2/\varepsilon)$ has a frac
73	kreutzer,oum,seymour,wood,zypen	1608.03040	Open Problem 8	1608.03040	1911.01954	2019	Proves the conjecture for digraphs with chromatic number at most 6 or dichromatic number at most 3; proves the stronger majority 3-choosability for digraphs with $\Delta^+(D) \leq 4$ or $\Delta(D) \le
72	scott,seymour	2110.00278	Conjecture 1.3	2110.00278	2305.15585	2023	Disproves the conjecture for all $k\geqslant 3$ by constructing $G$ and $T$ such that the out-neighbourhood of any set of at most $\frac{\log|V(T)|}{2\chi^2}$ vertices is bipartite.
72	sintiari,trotignon	2001.01607	Maximum Independent Set complexity for H-free graphs when H 	2001.01607	2203.06775	2022	Proves Theorem 1.4, that for all $t > 0$ there exists $d_t \geq 0$ such that every (even hole, diamond, pyramid, $K_t$)-free graph has treewidth at most $d_t$, which is a special case of Conjecture 1.
72	alon	1812.09752	Open question: exact value of $HG(K_{n,n})$	1812.09752	2409.01513	2024	Proves that every bipartite graph $G$ of sufficiently large maximum degree $\Delta$ satisfies $\operatorname{ch}(G)<(\frac{4}{5}-\varepsilon)\frac{\Delta}{\log\Delta}$ for $\varepsilon=10^{-3}$, givin
71	alon,wei	2108.02685	Conjecture 1.2	2108.02685	2207.13651	2022	The paper does not resolve Conjecture 1.1; it confirms the weaker asymptotic version (Conjecture 1.2) for $d = o(n/(\log n)^{12})$ via the irregular random subgraph model.
71	fox	1810.00058	Conjecture 3.4	1810.00058	2403.08303	2024	Proves that the polynomial Rödl conjecture is equivalent to the Erdős-Hajnal conjecture; as a corollary deduces that the family of string graphs satisfies the polynomial Rödl conjecture.
71	dvorak	1812.07327	Problem 8	1812.07327	2007.11853	2021	Proves that for every polynomial $p$ and integer $a \geq 0$ there exists a polynomial $q$ such that $G$ has a balanced separator which is $(\rho/t)$-cheap with $\exp(q(t))\log^{(a)} n$ outliers (Theor
71	seymour	1705.04609	Conjecture 1.8	1705.04609	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
70	fox,suk	2404.02021	Informal conjecture on tripartite off-diagonal Ramsey number	2404.02021	2312.15572	2025	Fully confirms the conjecture, proving that every graph $G$ of VC-dimension at most $d$ contains a clique or stable set of size at least $|G|^{c_d}$ for an explicit $c_d>0$ satisfying $c_d \geq 2^{-2^
70	chudnovsky,spirkl	2202.09118	Question (are all graphs self-isolating?)	2202.09118	2311.05719	2023	Proves the conjecture in full (Theorem 1.1): every clock-free graph of large treewidth contains, as an induced subgraph, one of the basic obstructions — a complete graph, a subdivision of a wall, or t
70	chudnovsky,spirkl	2202.09118	Question (are all graphs self-isolating?)	2202.09118	2311.05719	2023	Proves the conjecture in full (Theorem 1.1): every clock-free graph of large treewidth contains, as an induced subgraph, one of the basic obstructions — a complete graph, a subdivision of a wall, or t
70	chudnovsky,spirkl	2202.09118	Question (are all graphs self-isolating?)	2202.09118	2311.05719	2023	Proves the conjecture in full (Theorem 1.1): every clock-free graph of large treewidth contains, as an induced subgraph, one of the basic obstructions — a complete graph, a subdivision of a wall, or t
70	fox	2108.00987	Conjecture 4	2108.00987	2105.03956	2022	Proves this conjecture in full; specifically establishes (1.6) that for all $c > 0$ and sufficiently large $n$, every $n$-vertex perfect graph $G$ admits a pure pair $A, B$ with $|A|, |B| \geq n^{1-c}
70	alon,wei	2108.02685	Conjecture 1.2	2108.02685	2207.13651	2022	Confirms Conjecture 1.2 for all $d = o(n/(\log n)^{12})$ by proving (Theorem 1.3) that the irregular random subgraph $H = H(G)$ satisfies $m(H,k) = (1+o(1))n/(d+1)$ for all $0 \leq k \leq d$ with high
70	devos	1806.00825	Conjecture 12	1806.00825	2101.04716	2021	Proves Conjecture 1.2 in the case where every color class has size at least $301k \log k$, i.e., when the color class size is $\Omega(k \log k)$.
70	aboulker,cohen,havet,lochet,moura,thomasse	1610.00876	Problem 16	1610.00876	2008.09888	2020	The paper fully resolves the conjecture: Theorem 7 proves $\mathrm{mader}_{\vec{\chi}}(F)=v(F)$ for every octus digraph $F$, and Corollary 8 specialises this to every orientation of a cactus graph, wh
70	aboulker,charbit	1605.07411	Conjecture 5	1605.07411	2103.07886	2022	Proves the first open special case $F = S_2^+$, $H = C_3$: every locally out-transitive oriented graph has dichromatic number at most 2 (Theorem 3.2), and in fact proves the stronger Theorem 3.3 used 
69	seymour	2508.14332	Open case: Coarse Menger Conjecture for c=2	2508.14332	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
69	seymour	2110.00278	Conjecture 1.3	2110.00278	2412.13893	2026	Proves the conjecture in full generality with explicit bounds $f(k)\in\mathcal{O}(k^{18}\operatorname{polylog}k)$ and $g(d)=19d$.
69	fox	1810.00058	Conjecture 3.4	1810.00058	2301.10147	2024	The paper takes a different approach via blockades and leaves this conjecture open, proving the same conclusion (Theorem 1.3) by other means without establishing the conjecture.
69	fox	1810.00058	Conjecture 3.4	1810.00058	2307.06455	2026	The paper's results establishing the Erdős-Hajnal property for new (infinitely many prime) graph classes implicitly verify Conjecture 1.7 for those classes, via the equivalence proved by Bucić, Fox, a
69	trotignon	2008.05504	Conjecture 3	2008.05504	2507.06169	2025	Provides a second, simpler counterexample to Conjecture 1.5 that additionally has arbitrarily large girth and does not contain all trees as induced subgraphs; the proof establishes a slightly stronger
69	scott,seymour	1804.01060	Conjecture 2.4	1804.01060	2508.14332	2025	Disproves this conjecture by constructing, for all integers $\ell, m \geq 1$, a graph $G$ and sets $S, T \subseteq V(G)$ witnessing its failure when $c = k = 3$ (Theorem 1.3); a variant of the counter
