slug,title,url,category,importance,confidence,reviewed_at,citation_count,open_check,lean,proof_score,disproof_score,difficulty,note,summary
acyclic_edge_coloring,Acyclic edge-colouring,http://www.openproblemgarden.org/op/acyclic_edge_coloring,Graph Theory > Coloring > Edge coloring,Medium,high,2026-05-08,4,mixed: important cases solved; full problem open,prove,4,1,2,The conjecture that every simple graph with maximum degree $\Delta$ has a proper acyclic edge-colouring using at most $\Delta+2$ colours remains open.,"The conjecture that every simple graph with maximum degree $\Delta$ has a proper acyclic edge-colouring using at most $\Delta+2$ colours remains open. Since the problem was posted, the general upper bound has been reduced below $4\Delta-4$, reaching approximately $3.142(\Delta-1)+1$ as of 2026, and the conjecture has been confirmed for several special classes including 3-sparse graphs; moreover, Delcourt, Li, and Postle announced in 2023 that $(1+o(1))\Delta$ colours always suffice, though the exact Fiamčík bound is still unproved for general graphs."
acyclic_list_colouring_of_planar_graphs,Acyclic list colouring of planar graphs.,http://www.openproblemgarden.org/op/acyclic_list_colouring_of_planar_graphs,Graph Theory > Coloring > Vertex coloring,High,high,2026-05-08,2,yes: full/general case open,prove,3,1,4,The conjecture that every planar graph is acyclically 5-choosable remains open.,"The conjecture that every planar graph is acyclically 5-choosable remains open. Before the OPG posting, Borodin and Ivanova (2011, Siberian Math. J.) had already established the conjecture for planar graphs without 4-cycles; post-2013 work has continued to prove acyclic choosability (with 4 or 5 colors) for increasingly refined restricted classes of planar graphs. A 2024 arXiv preprint establishes the first fixed bound for acyclic list colouring of locally planar graphs (embedded in any surface), showing acyclic 9-list-colourability, but does not resolve the planar 5-choosability conjecture."
algorithm_for_graph_homomorphisms,Algorithm for graph homomorphisms,http://www.openproblemgarden.org/op/algorithm_for_graph_homomorphisms,Graph Theory > Coloring > Homomorphisms,Medium,medium,2026-05-08,4,mixed: important cases solved; full problem open,prove,4,2,2,The original question of whether there is an algorithm deciding the existence of a homomorphism from $G$ to $H$ in time $O(c^{|V(G)|+|V(H)|})$ for some absolute constant $c$ remains open in full generality.,"The original question of whether there is an algorithm deciding the existence of a homomorphism from $G$ to $H$ in time $O(c^{|V(G)|+|V(H)|})$ for some absolute constant $c$ remains open in full generality. Since 2010, several works have extended the list of graph classes admitting such plain-exponential algorithms (e.g., Wahlstrom-type results were generalized by Dadsetan and Bulatov to further classes for the counting version, and Rzazewski gave an $O^{*}((b+2)^{|V(G)|})$ algorithm parametrized by the bandwidth of the complement of $H$), and Fomin, Golovnev, Kulikov, and Mihajlin proved an ETH lower bound of $2^{\Omega(n \log h / \log\log h)}$ for the general problem, which however does not rule out a $c^{n+h}$ algorithm."
antidirected_trees_in_digraphs,Antidirected trees in digraphs,http://www.openproblemgarden.org/op/antidirected_trees_in_digraphs,Graph Theory > Directed Graphs,Medium,high,2026-05-08,5,mixed: important cases solved; full problem open,prove,4,1,2,The conjecture remains open in general.,"The conjecture remains open in general. The most significant post-2013 advances are: Stein and Trujillo-Negrete (2024) proved the conjecture for all antidirected caterpillars (achieving $|A(D)|>(k-1)|V(D)|$ implies every antidirected $k$-arc caterpillar is present) and for $K_{2,s}$-free digraphs with $s=\lceil k/12\rceil$; Stein and Zárate-Guerén (2022) showed the conjecture is asymptotically true in oriented graphs for all balanced antidirected trees of bounded maximum degree and of size linear in $n$. The full conjecture for arbitrary antidirected trees under pure arc-density conditions is still open."
approximation_ratio_for_k_outerplanar_graphs,Approximation ratio for k-outerplanar graphs,http://www.openproblemgarden.org/op/approximation_ratio_for_k_outerplanar_graphs,Graph Theory,Medium,medium,2026-05-08,4,yes: full/general case open,prove,4,1,2,Significant partial progress exists.,"Significant partial progress exists. Chekuri, Naves, and Shepherd (ICALP 2013) showed that the integrality gap of the natural multicommodity LP for MaxEDP is bounded by a constant in $k$-sums of bounded-genus graphs (a class that includes bounded-treewidth graphs and in particular $k$-outerplanar graphs for fixed $k$), giving a constant-factor approximation without congestion in these settings. Ene, Mnich, Pilipczuk, and Risteski (SWAT 2016) gave an $O(r^3)$-approximation for MaxEDP on graphs of treewidth at most $r$, which is constant for any fixed treewidth (and hence for fixed $k$ in $k$-outerplanar graphs, since they have treewidth $O(k)$). Naves, Shepherd, and Xia (IPCO 2021 / Math. Programming 2022) further obtained a constant-factor approximation for the weighted edge-disjoint paths problem on outerplanar graphs ($k=1$). However, whether the approximation ratio is bounded by an absolute constant independent of $k$ (or of the treewidth) remains open."
approximation_ratio_for_maximum_edge_disjoint_paths_problem,Approximation Ratio for Maximum Edge Disjoint Paths problem,http://www.openproblemgarden.org/op/approximation_ratio_for_maximum_edge_disjoint_paths_problem,Graph Theory,Medium,high,2026-05-08,3,"yes: classified partial, so a residual original question is open",balanced,4,4,2,"Since the problem was posted, two major developments have occurred.","Since the problem was posted, two major developments have occurred. First, Chuzhoy, Kim, and Nimavat (STOC 2018 / Theory of Computing 2021) proved $2^{\Omega(\log^{1-\varepsilon} n)}$-hardness for MaxEDP even in wall graphs (subcubic planar graphs), establishing an inapproximability result far stronger than $\mathcal{APX}$-hardness and thus answering the second half of the posed question affirmatively. Second, Huang, Mari, Mathieu, Schewior, and Vygen (SIAM J. Comput. 2020) achieved a constant-factor approximation for the *fully planar* variant of MaxEDP (where the supply graph together with the demand edges forms a planar graph), improving the $O(\sqrt{n})$ ratio for that special case; however, the $O(\sqrt{n})$ approximation ratio for MaxEDP in general planar graphs (without the fully-planar restriction) remains the best known upper bound."
arc_disjoint_out_branching_and_in_branching,Arc-disjoint out-branching and in-branching,http://www.openproblemgarden.org/op/arc_disjoint_out_branching_and_in_branching,Graph Theory > Directed Graphs,Medium,high,2026-05-08,5,yes: full/general case open,prove,4,1,2,The general Thomassen conjecture — that some universal $k$ suffices for all digraphs — remains open.,"The general Thomassen conjecture — that some universal $k$ suffices for all digraphs — remains open. Since 2013, the conjecture has been verified for digraphs of independence number at most 2 (where $k=2$ suffices), for semicomplete digraphs (complete classification of which pairs of roots admit a good pair), and for semicomplete compositions; separately, extremal work showed the smallest 2-arc-strong digraph without a good pair has at least 10 vertices."
arc_disjoint_strongly_connected_spanning_subdigraphs,Arc-disjoint strongly connected spanning subdigraphs,http://www.openproblemgarden.org/op/arc_disjoint_strongly_connected_spanning_subdigraphs,Graph Theory,Medium,medium,2026-05-08,2,yes: full/general case open,prove,3,1,3,The conjecture — that there exists a fixed $k$ such that every $k$-arc-connected digraph contains two arc-disjoint strongly connected spanning subdigraphs — remains open for general digraphs.,"The conjecture — that there exists a fixed $k$ such that every $k$-arc-connected digraph contains two arc-disjoint strongly connected spanning subdigraphs — remains open for general digraphs. Post-2013 work has extended partial results to broader classes: Sun, Gutin, and Ai (2018) handled digraph compositions and products, and Bang-Jensen, Gutin, and Yeo (2019/2020) gave a complete characterization of which semicomplete compositions admit a strong arc decomposition, solving a problem from the 2018 paper but leaving the general conjecture untouched."
are_almost_all_graphs_determined_by_their_spectrum,Are almost all graphs determined by their spectrum?,http://www.openproblemgarden.org/op/are_almost_all_graphs_determined_by_their_spectrum,Graph Theory,High,high,2026-05-08,4,mixed: important cases solved; full problem open,disprove,2,4,5,The van Dam–Haemers conjecture that almost all graphs are determined by their adjacency spectrum remains open.,"The van Dam–Haemers conjecture that almost all graphs are determined by their adjacency spectrum remains open. The most significant post-posting advance is Koval and Kwan (2024), who proved that at least $e^{cn}$ unlabeled $n$-vertex graphs are determined by their spectrum, breaking the longstanding $e^{c\sqrt{n}}$ barrier but still far short of the conjectured density $\sim 2^{n(n-1)/2}/n!$. A 2026 preprint by Xiang constructs a 'natural' graph matrix (derived from the adjacency matrix) whose spectrum determines random graphs up to isomorphism, resolving a related 2003 question of van Dam and Haemers for a different matrix; and a separate 2026 preprint shows sparse (Erdős–Rényi) graphs are typically NOT determined by their adjacency spectrum, due to pendant-tree obstructions."
are_different_notions_of_the_crossing_number_the_same,Are different notions of the crossing number the same?,http://www.openproblemgarden.org/op/are_different_notions_of_the_crossing_number_the_same,Graph Theory > Topological Graph Theory > Crossing numbers,High,high,2026-05-08,3,mixed: important cases solved; full problem open,prove,4,1,3,The equality $\text{pair-cr}(G) = \text{cr}(G)$ remains open for general graphs.,"The equality $\text{pair-cr}(G) = \text{cr}(G)$ remains open for general graphs. Significant partial progress has been made: the best known upper bound on $\text{cr}(G)$ in terms of $k = \text{pair-cr}(G)$ has improved from $O(k^2/\log^2 k)$ (Tóth, 2008) to $O(k^{3/2}\log k)$ (Karl–Tóth, 2021) and then to $O(k^{3/2})$ (Solé Pi, 2022), but no example with $\text{pair-cr}(G) < \text{cr}(G)$ has been found."
barnettes_conjecture,Barnette's Conjecture,http://www.openproblemgarden.org/op/barnettes_conjecture,Graph Theory > Basic Graph Theory > Cycles,High,high,2026-05-08,5,mixed: important cases solved; full problem open,balanced,3,2,5,Barnette's conjecture—that every 3-connected cubic planar bipartite graph is Hamiltonian—remains open.,"Barnette's conjecture—that every 3-connected cubic planar bipartite graph is Hamiltonian—remains open. Since the OPG posting date, several partial results have been established: Bagheri et al. (2021) proved Hamiltonicity for the leapfrog extension of any cyclically 4-edge-connected bipartite cubic planar graph; Gorsky et al. (2022) reformulated the conjecture via matching theory, reducing it to cubic planar braces; Florek (2023) found a sufficient neighborhood condition on big faces; Schnieders (2025) proved every Barnette graph with all faces of size at most 8 is Hamiltonian; and Bekos et al. (2025) showed every $n$-vertex Barnette graph contains a subhamiltonian cycle using at least $5n/6$ edges."
bouchets_6_flow_conjecture,Bouchet's 6-flow conjecture,http://www.openproblemgarden.org/op/bouchets_6_flow_conjecture,Graph Theory > Coloring > Nowhere-zero flows,High,high,2026-05-08,5,mixed: important cases solved; full problem open,prove,4,1,3,Bouchet's 6-flow conjecture for bidirected (signed) graphs remains open in full generality.,"Bouchet's 6-flow conjecture for bidirected (signed) graphs remains open in full generality. Since posting, the best known general bound has been improved from 12 (DeVos, preprint known at posting time) to 11 for all flow-admissible signed graphs (DeVos et al., 2019), and further to 8 for all 3-edge-connected flow-admissible signed graphs (DeVos, Nurse, Šámal, 2025). The conjecture has been fully verified for cyclically 5-edge-connected cubic signed graphs (Nurse, 2026)."
characterizing_aleph_0_aleph_1_graphs,"Characterizing (aleph_0,aleph_1)-graphs",http://www.openproblemgarden.org/op/characterizing_aleph_0_aleph_1_graphs,Graph Theory > Infinite Graphs,High,high,2026-05-08,2,yes: full/general case open,balanced,2,1,4,"The specific sub-question posed by Diestel and Leader — whether every $(\aleph_0,\aleph_1)$-graph has an $(\aleph_0,\aleph_1)$-minor that is either indivisible or of binary type — was answered negatively under the Conti…","The specific sub-question posed by Diestel and Leader — whether every $(\aleph_0,\aleph_1)$-graph has an $(\aleph_0,\aleph_1)$-minor that is either indivisible or of binary type — was answered negatively under the Continuum Hypothesis by Bowler, Geschke, and Pitz (2018, Fundamenta Mathematicae): they construct $(\aleph_0,\aleph_1)$-graphs with no such minor under CH, while under Martin's Axiom with $\neg$CH the class of forbidden $(\aleph_0,\aleph_1)$-graphs in the Diestel–Leader normal-spanning-tree theorem collapses to a single instance up to minors. The broader problem of providing a combinatorial characterization of all $(\aleph_0,\aleph_1)$-graphs remains open."
choice_number_of_k_chromatic_graphs_of_bounded_order,Choice Number of k-Chromatic Graphs of Bounded Order,http://www.openproblemgarden.org/op/choice_number_of_k_chromatic_graphs_of_bounded_order,Graph Theory > Coloring > Vertex coloring,Medium,medium,2026-05-08,2,mixed: important cases solved; full problem open,prove,4,2,3,"The conjecture has been verified for $m = 2$ (before posting) and $m = 3$ (proved by Noel, West, Wu, and Zhu in 2013, published 2015).","The conjecture has been verified for $m = 2$ (before posting) and $m = 3$ (proved by Noel, West, Wu, and Zhu in 2013, published 2015). Kierstead, Salmon, and Wang determined $\text{ch}(K_{4*k}) = \lceil(3k-1)/2\rceil$ in 2014, establishing what the bound should be for $m = 4$, but the general upper bound $\text{ch}(G) \leq \lceil(3k-1)/2\rceil$ for all $k$-chromatic graphs on at most $4k$ vertices (and the full conjecture for $m \geq 4$) remains open."
chords_of_longest_cycles,Chords of longest cycles,http://www.openproblemgarden.org/op/chords_of_longest_cycles,Graph Theory > Basic Graph Theory > Cycles,High,high,2026-05-08,4,yes: full/general case open,prove,4,1,3,Thomassen's 1976 conjecture that every longest cycle in a 3-connected graph has a chord remains open in full generality.,"Thomassen's 1976 conjecture that every longest cycle in a 3-connected graph has a chord remains open in full generality. Post-2007 partial results include: Harvey's 2017 proof for graphs with sufficiently high minimum degree (without requiring 3-connectivity); Wu and Zhang's 2025 proof of both Thomassen's and Harvey's conjectures for graphs whose circumference is at least $n - O(\sqrt{n})$; and additional work on chords passing through specified small vertex/edge sets. Significant results by Birmelé (2008, for $K_{3,3}$-minor-free 3-connected graphs) and Thomassen himself (2018, for 2-connected cubic graphs and the existence of at least one chorded longest cycle when $\delta\ge 4$) were found via search but could not be directly verified through web fetches due to paywalls."
chromatic_number_of_frac_3_3_power_of_graph,Chromatic number of $\frac{3}{3}$-power of graph,http://www.openproblemgarden.org/op/chromatic_number_of_frac_3_3_power_of_graph,Graph Theory,Medium,high,2026-05-08,1,mixed: important cases solved; full problem open,prove,5,2,3,The conjecture $\chi(G^{3/3}) \leq 2\Delta(G)+1$ remains open in general.,"The conjecture $\chi(G^{3/3}) \leq 2\Delta(G)+1$ remains open in general. Anastos, Boyadzhiyska, Rathke, and Rué (2024) proved the asymptotically tight bound $\chi(G^{3/3}) \leq \Delta + C\log\Delta$ for all graphs $G$ (with $C=28$ for sufficiently large $\Delta$), which confirms the conjecture for all sufficiently large $\Delta$ and is in fact stronger than $2\Delta+1$ in that regime, but leaves the exact conjecture open for small-to-moderate values of $\Delta \geq 5$ not already handled by pre-posting results. Lower bounds show $\chi(G^{3/3}) \geq \Delta + \Omega(\log\Delta)$ for infinitely many $\Delta$, making the new upper bound essentially tight."
chromatic_number_of_random_lifts_of_complete_graphs,Chromatic number of random lifts of complete graphs,http://www.openproblemgarden.org/op/chromatic_number_of_random_lifts_of_complete_graphs,Graph Theory > Probabilistic Graph Theory,Medium,high,2026-05-08,1,mixed: important cases solved; full problem open,prove,4,2,3,"Nir and Pérez Giménez (2021) proved that for fixed $d \geq 3$, the chromatic number of a random $n$-lift of $K_{d+1}$ is a.a.s.","Nir and Pérez Giménez (2021) proved that for fixed $d \geq 3$, the chromatic number of a random $n$-lift of $K_{d+1}$ is a.a.s. either $k$ or $k+1$, where $k$ is the smallest integer satisfying $d < 2k\log k$; moreover, for roughly half of all values of $d$, the chromatic number concentrates on the single value $k$. The specific question of whether the chromatic number of a random lift of $K_5$ ($d=4$, $k=3$) concentrates on a single value (3 or 4) is not definitively resolved by this work and remains open."
coloring_and_immersion,Coloring and immersion,http://www.openproblemgarden.org/op/coloring_and_immersion,Graph Theory > Coloring > Vertex coloring,High,high,2026-05-08,3,mixed: important cases solved; full problem open,prove,3,1,4,The conjecture that every graph $G$ with $\chi(G) \ge t$ immerses $K_t$ remains open in full generality.,"The conjecture that every graph $G$ with $\chi(G) \ge t$ immerses $K_t$ remains open in full generality. Post-posting, DeVos–Kawarabayashi–Mohar–Okamura (2010) confirmed it for $t \le 7$ via the stronger fact that minimum degree $t-1$ suffices; Gauthier–Le–Wollan (2017) showed chromatic number at least $3.54t+4$ guarantees a $K_t$-immersion; and Fox–Pach–Suk (2025) proved the conjecture for graphs on at most $(1.64-o(1))t$ vertices."
coloring_random_subgraphs,Coloring random subgraphs,http://www.openproblemgarden.org/op/coloring_random_subgraphs,Graph Theory > Probabilistic Graph Theory,Medium,high,2026-05-08,4,mixed: important cases solved; full problem open,prove,4,1,2,"Bukh's 2008 conjecture that $\mathbb{E}(\chi(G_{1/2})) \geq c\,\chi(G)/\log\chi(G)$ for all graphs $G$ remains open.","Bukh's 2008 conjecture that $\mathbb{E}(\chi(G_{1/2})) \geq c\,\chi(G)/\log\chi(G)$ for all graphs $G$ remains open. Partial results confirm it for graphs with small independence number $\alpha(G) \leq O(n/k)$ (Shinkar 2016) and for the fractional chromatic number analogue (Mohar–Wu 2018), and a 2023 paper by the original proposer with collaborators establishes tail-probability bounds for $\chi(G_{1/2})$ and studies the degeneracy of $G_{1/2}$, but the conjecture in its original integral form is unresolved."
colouring_the_square_of_a_planar_graph,Colouring the square of a planar graph,http://www.openproblemgarden.org/op/colouring_the_square_of_a_planar_graph,Graph Theory > Coloring > Vertex coloring,Medium,high,2026-05-08,8,mixed: important cases solved; full problem open,prove,4,1,2,Significant partial progress has been made since the 2013 OPG posting.,"Significant partial progress has been made since the 2013 OPG posting. The $\Delta=3$ case of Wegner's conjecture ($\chi(G^2)\le 7$) has been fully proved — independently by Hartke, Jahanbekam, and Thomas (2016) and by Thomassen (2018). For larger $\Delta$ the conjecture remains open: improved general upper bounds such as $2\Delta+7$ (for $\Delta\ge 6$) and $3\Delta+4$ have been established, and the clique bound $\omega(G^2)\le\lfloor\frac{3}{2}\Delta\rfloor+1$ has been verified for $\Delta\ge 36$, but the full conjecture (all three cases) is still unresolved."
complexity_of_the_h_factor_problem,Complexity of the H-factor problem.,http://www.openproblemgarden.org/op/complexity_of_the_h_factor_problem,Graph Theory > Extremal Graph Theory,Medium,high,2026-05-08,2,"yes: classified partial, so a residual original question is open",disprove,2,5,3,"Han and Treglown (JCTB 2020) provide a general tool that resolves much of the question: for any graph $H$ and any $\gamma>0$, deciding whether an $n$-vertex graph $G$ with $\delta(G)\ge(1-1/\chi_{cr}(H)+\gamma)n$ contai…","Han and Treglown (JCTB 2020) provide a general tool that resolves much of the question: for any graph $H$ and any $\gamma>0$, deciding whether an $n$-vertex graph $G$ with $\delta(G)\ge(1-1/\chi_{cr}(H)+\gamma)n$ contains a perfect $H$-packing is polynomial-time solvable, while a complementary hardness result of Kühn and Osthus (TAMC 2017) shows that for many $H$ (including all complete multipartite $H$ whose second smallest color class has size at least 2) the problem becomes NP-complete just below this critical threshold, so that a sharp $P$/NP-hard dichotomy in the parameter $c$ holds for those $H$. A complete dichotomy at the critical threshold for all graphs $H$ is, however, still not fully established."
cores_of_cayley_graphs,Cores of Cayley graphs,http://www.openproblemgarden.org/op/cores_of_cayley_graphs,Graph Theory > Coloring > Homomorphisms,Medium,high,2026-05-08,2,mixed: important cases solved; full problem open,prove,3,1,3,"The original conjecture (and even the special case $M=\mathbb{Z}_2$, the cubelike core question of Nešetřil and Šámal) remains open in general, but substantial partial results have appeared since 2007.","The original conjecture (and even the special case $M=\mathbb{Z}_2$, the cubelike core question of Nešetřil and Šámal) remains open in general, but substantial partial results have appeared since 2007. Mančinska, Pivotto, Roberson and Royle (2020) showed that cores of cubelike graphs inherit strong structural, spectral and group-theoretic properties and verified the conjecture for cubelike graphs whose core has at most 32 vertices, while Rao and Tan (2025) proved that Cayley graphs on elementary abelian $p$-groups (any prime $p$) of degree less than $5$ or at least $5$ less than the order have complete (hence cubelike) cores, settling the extreme-degree case."
crossing_numbers_and_coloring,Crossing numbers and coloring,http://www.openproblemgarden.org/op/crossing_numbers_and_coloring,Graph Theory > Topological Graph Theory > Crossing numbers,High,high,2026-05-08,3,mixed: related claim/variant false; residual problem open,balanced,3,4,4,"Albertson's conjecture remains open in general, but substantial progress has been made since it was posted in 2009.","Albertson's conjecture remains open in general, but substantial progress has been made since it was posted in 2009. Ackerman (2019) extended the verified range from $t \le 16$ to $t \le 18$; Cranston (2025) further pushed this to $t \le 24$ and greatly restricts possible counterexamples for $t \in \{25, 26\}$; Fox, Pach, and Suk (SoCG 2025) proved the conjecture for all graphs with chromatic number $k$ having at most $1.4(k-1)$ vertices (for sufficiently large $k$), via the Lescure–Meyniel weak immersion conjecture."
crossing_sequences,Crossing sequences,http://www.openproblemgarden.org/op/crossing_sequences,Graph Theory > Topological Graph Theory > Crossing numbers,Medium,medium,2026-05-08,1,mixed: important cases solved; full problem open,prove,3,1,3,The conjecture asks whether every strictly decreasing sequence of nonneg integers ending in 0 is realizable as a crossing sequence of some graph.,"The conjecture asks whether every strictly decreasing sequence of nonneg integers ending in 0 is realizable as a crossing sequence of some graph. DeVos, Mohar, and Samal (2011) resolved the orientable case for length-3 sequences $(a, b, 0)$, proving that for any $a > b > 0$ there exists a graph with $\mathrm{cr}_0(G) = a$, $\mathrm{cr}_1(G) = b$, $\mathrm{cr}_2(G) = 0$; together with the pre-posting ABS (2001) nonorientable length-3 result and the known convex-sequence case, this constitutes meaningful partial progress, but the full conjecture for arbitrary-length strictly decreasing sequences remains open."
